date,revenue,orders
2025-01-01,42490.1424590337,112
2025-01-02,39610.20709648645,93
2025-01-03,36993.06561430208,93
2025-01-04,51644.08956922408,136
2025-01-05,50397.53987582999,128
2025-01-06,41422.58912915246,103
2025-01-07,49887.63844652218,122
2025-01-08,43477.30418745873,99
2025-01-09,38791.57684219514,97
2025-01-10,36852.68013075789,84
2025-01-11,45859.74692156261,106
2025-01-12,49877.81073928923,114
2025-01-13,43025.8868146981,104
2025-01-14,39585.1592660266,95
2025-01-15,36175.246502460905,90
2025-01-16,38688.13741227708,94
2025-01-17,32361.50663899673,74
2025-01-18,48367.74199778582,123
2025-01-19,48725.92777343637,113
2025-01-20,38238.08889599412,89
2025-01-21,49896.946306764665,118
2025-01-22,40847.67109854039,110
2025-01-23,40752.58461406377,104
2025-01-24,31300.75544135963,71
2025-01-25,45966.85182642445,116
2025-01-26,51957.7677691296,128
2025-01-27,39197.01926773309,104
2025-01-28,46802.09405503701,114
2025-01-29,39898.08393024359,96
2025-01-30,39849.91875062017,95
2025-01-31,33944.88016331181,81
2025-02-01,53331.834553526816,136
2025-02-02,51759.5083257862,137
2025-02-03,39651.8672131323,94
2025-02-04,48317.63473630957,110
2025-02-05,38212.46905008693,99
2025-02-06,41526.59078501427,93
2025-02-07,30045.989628360672,81
2025-02-08,43965.44185330471,99
2025-02-09,52565.58370760737,135
2025-02-10,45215.39973998624,104
2025-02-11,46539.10484356991,119
2025-02-12,41703.05515283528,101
2025-02-13,40171.68891323213,97
2025-02-14,31664.43402889772,87
2025-02-15,45965.46737481588,110
2025-02-16,50768.08368712064,134
2025-02-17,46346.36667865675,110
2025-02-18,47230.85486870538,113
2025-02-19,36935.8795339118,84
2025-02-20,42222.25190818439,101
2025-02-21,35119.75315875105,95
2025-02-22,46269.23399908212,112
2025-02-23,54160.0288665226,134
2025-02-24,46442.998567487855,125
2025-02-25,49168.8403573486,126
2025-02-26,39882.34743033208,103
2025-02-27,40497.36287244636,91
2025-02-28,37443.79029421069,102
2025-03-01,51401.63538136708,124
2025-03-02,51062.47728646413,120
2025-03-03,42968.02307000855,102
2025-03-04,43230.99507798192,98
2025-03-05,38986.38012775799,91
2025-03-06,44037.57746718259,100
2025-03-07,40693.72008571247,94
2025-03-08,48433.969635259,112
2025-03-09,55685.59869367608,138
2025-03-10,44784.9080751429,105
2025-03-11,44789.64073618463,110
2025-03-12,43834.18681652524,99
2025-03-13,46389.10969939791,110
2025-03-14,36692.52188267015,93
2025-03-15,53518.93096744202,137
2025-03-16,44990.76468773077,105
2025-03-17,46340.70751312567,117
2025-03-18,47161.14120471451,126
2025-03-19,42027.9779486024,109
2025-03-20,42225.2823296065,102
2025-03-21,31012.29325619732,71
2025-03-22,48340.98433648746,124
2025-03-23,54096.33771453524,128
2025-03-24,48483.68213422455,122
2025-03-25,45520.18934517906,115
2025-03-26,40674.51919132044,92
2025-03-27,40619.72886924639,109
2025-03-28,39896.20635310622,107
2025-03-29,50161.25332897905,118
2025-03-30,51610.71938869888,122
2025-03-31,45764.80229934007,114
2025-04-01,47541.23264804412,112
2025-04-02,46180.93497159867,124
2025-04-03,40193.840718367945,100
2025-04-04,36342.013560206695,89
2025-04-05,48173.67554060353,117
2025-04-06,48984.455155603646,117
2025-04-07,45288.36083119373,108
2025-04-08,48208.16581653967,117
2025-04-09,43465.34036992738,112
2025-04-10,41771.23859987456,107
2025-04-11,33253.88777384876,83
2025-04-12,48263.06403170392,121
2025-04-13,52521.85645041969,133
2025-04-14,42168.16819233514,102
2025-04-15,47116.14286500197,124
2025-04-16,44837.15257044361,102
2025-04-17,48308.55770363159,124
2025-04-18,38198.73343849552,92
2025-04-19,50472.65117216829,126
2025-04-20,53501.6622527015,134
2025-04-21,38993.68635410287,98
2025-04-22,47695.45837365235,112
2025-04-23,43980.69062982308,114
2025-04-24,50214.72633745586,118
2025-04-25,37272.91710565664,87
2025-04-26,50779.64202700084,120
2025-04-27,53795.86469088427,131
2025-04-28,41418.96588714141,102
2025-04-29,51378.46844354506,134
2025-04-30,46230.79909806032,113
2025-05-01,45373.09584112914,121
